,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cluster
382,0.641,0.445,6.0,-8.674,1.0,0.0368,0.145,0.0,0.108,0.383,81.931,214733.0,4.0,3
383,0.761,0.639,5.0,-7.577,0.0,0.0539,0.0359,0.0,0.0945,0.922,164.088,219120.0,4.0,2
384,0.495,0.894,10.0,-4.89,1.0,0.102,0.136,0.0,0.106,0.777,168.062,274360.0,4.0,1
385,0.687,0.537,10.0,-7.639,1.0,0.0305,0.561,0.0,0.107,0.264,120.023,257160.0,4.0,3
386,0.509,0.538,5.0,-6.835,1.0,0.0379,0.306,5.03e-06,0.091,0.284,170.111,240600.0,4.0,3
387,0.658,0.826,8.0,-6.031,1.0,0.0346,0.00189,0.00275,0.0492,0.795,134.465,220360.0,4.0,0
388,0.672,0.855,9.0,-3.764,1.0,0.0397,0.021,0.0,0.323,0.646,123.056,182200.0,4.0,0
389,0.835,0.678,4.0,-6.458,1.0,0.124,0.227,6.44e-06,0.287,0.708,132.868,209490.0,4.0,1
390,0.837,0.736,10.0,-8.367,0.0,0.378,0.225,0.0,0.0549,0.905,104.907,234093.0,4.0,2
391,0.744,0.672,9.0,-5.589,0.0,0.0418,0.187,0.000123,0.105,0.266,140.889,230560.0,4.0,2
392,0.521,0.625,1.0,-7.47,1.0,0.067,0.0301,0.0,0.121,0.136,101.019,334067.0,4.0,3
393,0.655,0.433,5.0,-7.577,0.0,0.0348,0.444,0.0,0.221,0.199,130.127,245293.0,4.0,4
394,0.631,0.496,9.0,-8.279,0.0,0.0598,0.428,1.01e-06,0.107,0.365,143.735,217627.0,4.0,4
395,0.852,0.865,2.0,-3.586,1.0,0.139,0.0788,0.00136,0.0919,0.909,130.022,208387.0,4.0,0
396,0.593,0.855,11.0,-6.679,1.0,0.0365,0.000214,0.0,0.11,0.832,107.025,196013.0,4.0,0
397,0.795,0.934,6.0,-4.617,0.0,0.0323,0.0336,0.0,0.158,0.96,124.998,218173.0,4.0,2
398,0.805,0.717,2.0,-3.956,1.0,0.266,0.0669,0.0,0.248,0.582,112.989,296187.0,4.0,1
399,0.7,0.934,7.0,-0.666,1.0,0.312,0.0655,0.0,0.31,0.648,100.995,212172.0,4.0,1
400,0.894,0.791,2.0,-4.699,1.0,0.112,0.0183,0.0,0.0388,0.583,105.018,250373.0,4.0,0
401,0.712,0.862,5.0,-4.612,0.0,0.0378,0.0525,0.0,0.093,0.809,95.051,206200.0,4.0,2
402,0.774,0.838,5.0,-3.914,0.0,0.114,0.0249,0.025,0.242,0.924,143.04,198800.0,4.0,2
403,0.727,0.974,4.0,-2.261,0.0,0.0664,0.103,0.000532,0.174,0.965,79.526,235213.0,4.0,2
404,0.472,0.671,4.0,-4.649,1.0,0.029,0.0129,0.0,0.159,0.0681,82.952,232800.0,4.0,3
405,0.352,0.911,1.0,-5.23,1.0,0.0747,0.00121,0.0,0.0995,0.236,148.033,222973.0,4.0,3
406,0.456,0.831,9.0,-4.589,1.0,0.0417,0.0007,0.0,0.546,0.249,109.976,187508.0,4.0,1
407,0.852,0.797,0.0,-6.543,1.0,0.0614,0.322,2.69e-06,0.0845,0.741,96.008,192600.0,4.0,0
408,0.609,0.444,7.0,-9.129,1.0,0.106,0.603,6.86e-06,0.104,0.166,118.402,228707.0,3.0,4
409,0.277,0.663,4.0,-8.821,0.0,0.0377,0.000409,0.00051,0.136,0.527,104.561,237027.0,4.0,2
410,0.38,0.988,1.0,-2.042,1.0,0.0639,2.64e-05,7.86e-05,0.368,0.769,186.113,176346.0,4.0,1
411,0.662,0.507,5.0,-8.238,1.0,0.118,0.257,0.0,0.0465,0.676,86.412,223440.0,4.0,3
412,0.888,0.632,1.0,-3.872,1.0,0.219,0.19,0.0,0.101,0.662,91.979,266067.0,4.0,1
413,0.613,0.953,2.0,-3.435,1.0,0.0855,0.00148,0.000582,0.152,0.537,105.046,213800.0,4.0,0
414,0.557,0.533,10.0,-6.817,0.0,0.0252,0.0492,0.0,0.205,0.233,143.994,238733.0,4.0,2
415,0.453,0.655,9.0,-4.22,1.0,0.0259,0.0794,7.61e-06,0.0849,0.368,172.012,236160.0,4.0,1
416,0.597,0.837,10.0,-6.518,1.0,0.375,0.00427,0.00115,0.839,0.447,126.342,171360.0,4.0,1
417,0.571,0.739,7.0,-6.11,1.0,0.247,0.00865,5.21e-06,0.158,0.66,83.089,221227.0,4.0,1
418,0.19,0.265,9.0,-9.206,1.0,0.0356,0.863,0.0,0.134,0.101,79.012,262533.0,4.0,4
419,0.751,0.731,6.0,-4.419,0.0,0.0308,0.0838,0.0,0.0556,0.973,97.007,216707.0,4.0,2
420,0.851,0.849,1.0,-3.383,0.0,0.0828,0.497,2.05e-06,0.116,0.844,120.014,298773.0,4.0,2
421,0.651,0.663,0.0,-5.569,0.0,0.0281,0.228,0.0,0.0994,0.465,102.0,259453.0,4.0,2
422,0.559,0.733,2.0,-5.659,0.0,0.171,0.314,0.0,0.284,0.611,145.115,316053.0,4.0,2
423,0.783,0.794,11.0,-2.231,0.0,0.12,0.105,0.0,0.304,0.805,104.963,217733.0,4.0,2
